('37.85202469473088', '-122.2764409715625')
('37.85496423456658', '-122.27099910712268')
('37.881901979810266', '-122.26331601127461')
('37.86806253237752', '-122.2776586014294')
('37.85931428421654', '-122.27464706551618')
('37.842568098577274', '-122.2659728819275')
('37.858482291019456', '-122.2510011157436')
('37.86342476981824', '-122.25602248472855')
('37.86870152527542', '-122.24983296109737')
('37.88239096823481', '-122.25894808355052')
('37.8606862007001', '-122.25468000883103')
('37.8637748573071', '-122.27549518306301')
('37.86138934137077', '-122.24687990537724')
('37.871062793191584', '-122.25776301256431')
('37.84497350643985', '-122.25551459204547')
('37.85877201836859', '-122.2747818206379')
('37.852899245206714', '-122.25665778408234')
('37.85323939881387', '-122.25793373315781')
('37.861891089026685', '-122.25559702975724')
('37.85773938229173', '-122.2512189714738')
('37.86348685309178', '-122.25713940704233')
('37.84647371771355', '-122.26429009786067')
('37.85455663262301', '-122.25261028680089')
('37.884541126210046', '-122.25696392812378')
('37.861374771781456', '-122.25342533777378')
('37.86413419950364', '-122.26283532660793')
('37.85889284730918', '-122.2747299145402')
('37.8752126445665', '-122.2707723917553')
('37.85612825439409', '-122.24833383031955')
('37.85192351803597', '-122.27454015132943')
('37.84991548071468', '-122.26399907331238')
('37.86738626686976', '-122.24475389522188')
('37.869154223259144', '-122.24508740224994')
('37.865405497472715', '-122.25219129979833')
('37.86904854534836', '-122.28038285610755')
('37.85456663322909', '-122.26333756891538')
('37.87889428390022', '-122.26447321166516')
('37.85510079197707', '-122.28195434547222')
('37.85095310097717', '-122.26835657641539')
('37.84162522565627', '-122.25256148921726')
('37.86246045280047', '-122.27796100299211')
('37.867488526233814', '-122.27874574583373')
('37.853906716252105', '-122.25810830706266')
('37.85460535927897', '-122.26769656827105')
('37.85900447353775', '-122.25188289238272')
('37.865775883268284', '-122.27654783327543')
('37.87975891125974', '-122.27640690258484')
('37.8583029055833', '-122.27981256526012')
('37.85896547330875', '-122.24085222899315')
('37.87760778990559', '-122.27094926359781')
('37.85723643252809', '-122.26345963132671')
('37.87710417849893', '-122.26465986930525')
('37.86029959687539', '-122.271991834158')
('37.88021509562413', '-122.26713191529075')
('37.872028720255265', '-122.28405046182912')
('37.85489452058353', '-122.2731458498624')
('37.86095127162402', '-122.2600993580872')
('37.85465964031733', '-122.26342356169506')
('37.86223967416827', '-122.28063302366036')
('37.86597958291645', '-122.26220789265388')
('37.86022249054676', '-122.25869497568166')
('37.86005467210612', '-122.26155639179417')
('37.8804571322891', '-122.26845098787427')
('37.84799862383866', '-122.2766691856898')
('37.843170362385074', '-122.2577877324447')
('37.85807729712214', '-122.25913805095705')
('37.859476519924', '-122.27732200944538')
('37.855321710138355', '-122.25460122325237')
('37.8591787840094', '-122.27281245348487')
('37.86176501316091', '-122.25163694168944')
('37.84615266759987', '-122.23431417902137')
('37.84981640384689', '-122.25721321574234')
('37.8613613087925', '-122.25901633248814')
('37.84242285733163', '-122.24831554790075')
('37.8796379908207', '-122.26273463714939')
('37.86127939918605', '-122.25424543237914')
('37.86921199603458', '-122.24507361714907')
('37.85589627025445', '-122.2542008212161')
('37.85464997048647', '-122.26664090943521')
('37.853996226961904', '-122.26855301640315')
('37.87594575504558', '-122.26529229967')
('37.85243205965817', '-122.26800067680291')
('37.85516322672053', '-122.26574720201917')
('37.87336488505558', '-122.26994563493773')
('37.85237530404965', '-122.26496248357626')
